"month","block","wasting","stunting","underweight","lbw"
"Aug","Dahanu",9.17,64.71,44.29,21.18
"Aug","Jawhar",16.30,73.99,60.69,25.00
"Aug","Mokhada",15.38,66.67,43.48,0.00
"Aug","Palghar",3.77,29.07,15.33,9.95
"Aug","Talasari",5.91,61.25,38.62,21.33
"Aug","Vasai",9.52,38.10,34.75,13.51
"Aug","Vikramgad",11.76,70.38,53.44,13.95
"Aug","Wada",8.13,64.21,41.31,12.00
"Oct","Dahanu",6.83,57.38,36.48,20.47
"Oct","Jawhar",11.20,77.19,56.91,29.23
"Oct","Mokhada",12.58,74.08,55.31,17.14
"Oct","Palghar",3.38,39.98,17.45,12.24
"Oct","Talasari",5.90,60.96,34.43,16.37
"Oct","Vasai",3.37,32.74,14.88,21.74
"Oct","Vikramgad",9.58,70.04,48.06,18.68
"Oct","Wada",6.23,61.37,33.60,15.82
"Sep","Dahanu",8.77,57.76,35.69,15.98
"Sep","Jawhar",13.35,76.46,59.19,19.42
"Sep","Mokhada",13.10,77.76,59.40,6.25
"Sep","Palghar",3.52,36.16,17.47,7.58
"Sep","Talasari",6.93,58.47,35.57,28.93
"Sep","Vasai",3.38,41.88,21.82,21.92
"Sep","Vikramgad",10.67,69.99,50.26,10.57
"Sep","Wada",7.33,64.24,37.80,21.90
