Month,Block,no_enrolled,tot_elgb_wghd,tot_elgb_hght,no_wt,no_ht,no_wt_ht,WeightP,HeightP,HeightWeightP
Aug,Dahanu,27335781,22379697,20691459,1444140,1320174,1317618,5.28,4.83,4.82
Aug,Jawhar,4665672,3854176,3483000,598560,534232,533888,38.43,34.63,34.6
Aug,Mokhada,714938,605018,540669,10534,8931,8931,12.32,11.12,11.08
Aug,Palghar,26479376,21780528,20085296,8602440,7945784,7939008,12.83,11.45,11.44
Aug,Talasari,4674304,3882936,3591288,728128,677040,675552,46.61,43.87,43.67
Aug,Vasai,13918031,11314454,10722007,91804,49014,49014,51.23,48.08,47.93
Aug,Vikramgad,5390616,4489408,4083464,1012088,927388,924308,1.47,1.25,1.25
Aug,Wada,7827310,6435770,5855210,2386200,2256640,2249260,19.6,17.02,16.98
Oct,Dahanu,31493754,25877583,23844285,12104577,10906452,10896228,10.06,9.24,9.24
Oct,Jawhar,5569704,4615792,4190264,2596168,2443432,2432424,32.49,30.01,29.98
Oct,Mokhada,2112067,1762155,1622923,414032,359530,358614,66.76,60.9,60.81
Oct,Palghar,27123712,22364496,20430872,18108552,16518656,16492784,58.66,54.15,54.04
Oct,Talasari,4847656,4038928,3726448,2496120,2167024,2165784,15.58,14.48,14.45
Oct,Vasai,15827632,12847114,12041106,5705074,5263559,5257335,51.49,44.7,44.68
Oct,Vikramgad,5357660,4441360,4010468,3460996,3256792,3250324,28.67,25.39,25.37
Oct,Wada,8178680,6746550,6154920,5340250,5082770,5072110,0.66,0.35,0.35
Sep,Dahanu,30378060,24867324,22936905,3743262,3377754,3366891,36.05,33.26,33.22
Sep,Jawhar,5547688,4576920,4160336,2842128,2667376,2659120,14.27,12.82,12.8
Sep,Mokhada,1817115,1527888,1387282,182742,167857,167857,18.77,17.2,17.15
Sep,Palghar,26890864,22145200,20256544,15774528,14560392,14532056,64.6,60.79,60.67
Sep,Talasari,4752176,3955600,3657752,1362264,1206768,1205776,52.73,49.97,49.85
Sep,Vasai,15214568,12367088,11641214,2171787,1950446,1947334,30.49,28.83,28.74
Sep,Vikramgad,5314540,4404092,3995376,2802492,2655884,2649416,65.29,62.15,62.02
Sep,Wada,8111030,6686280,6082760,4454240,4229560,4217260,54.92,52.15,51.99
