month,block_n,project,mdrtly_stntd,svrly_stntd,svr_wstg,mdrtly_wstd,svrly_uw,mdrtly_uw,nb_lbw,wasting,stunting,underweight,lbw
Aug,Dahanu,Dahanu,539,725,28,149,280,661,18,9.04,64.39,43.87,21.95
Aug,Dahanu,Kasa,20,53,5,7,23,37,0,11.65,70.87,52.17,0
Aug,Jawhar,Jawhar 1,78,106,5,24,54,90,2,12.78,81.06,59.75,40
Aug,Jawhar,Jawhar-2,472,493,45,179,277,635,6,16.91,72.78,60.84,22.22
Aug,Mokhada,Mokhada,12,14,0,6,10,10,0,15.38,66.67,43.48,0
Aug,Palghar,Manor,88,133,4,10,49,98,4,4.28,67.17,34.83,11.11
Aug,Palghar,Palghar,2073,1456,89,383,391,1603,15,3.76,28.07,14.72,9.68
Aug,Talasari,Talasari,928,744,16,145,266,868,16,5.91,61.25,38.62,21.33
Aug,Vasai,Vasai,14,9,0,8,16,22,5,9.64,27.71,27.94,16.67
Aug,Vasai,Vasai-2,13,12,0,4,16,28,0,9.3,58.14,44,0
Aug,Vikramgad,Vikramgad,941,1178,73,280,522,1234,6,11.76,70.38,53.44,13.95
Aug,Wada,Wada-1,591,872,45,145,303,791,1,8.96,68.62,49.55,3.33
Aug,Wada,Wada-2,959,1112,44,212,314,996,11,7.61,61.42,36.27,15.71
Oct,Dahanu,Dahanu,3071,3270,180,573,952,3322,58,7.15,60.17,36.68,24.17
Oct,Dahanu,Kasa,1767,1685,64,348,660,1976,11,6.32,52.86,36.16,11.34
Oct,Jawhar,Jawhar 1,1112,1651,70,294,661,1419,14,10.6,79.99,58.07,35
Oct,Jawhar,Jawhar-2,1288,1432,62,366,614,1601,24,11.76,74.54,55.86,26.67
Oct,Mokhada,Mokhada,471,692,41,156,297,703,6,12.58,74.08,55.31,17.14
Oct,Palghar,Manor,2499,2725,37,264,498,2290,22,3.59,62.29,31.35,14.19
Oct,Palghar,Palghar,3160,2337,109,496,395,1947,32,3.29,29.83,11.42,11.19
Oct,Talasari,Talasari,2921,2406,47,468,725,2740,28,5.9,60.96,34.43,16.37
Oct,Vasai,Vasai,1310,721,44,256,223,804,23,3.6,24.33,11.32,20.72
Oct,Vasai,Vasai-2,1278,1121,27,129,242,914,17,3.01,46.29,20.68,23.29
Oct,Vikramgad,Vikramgad,3627,3779,164,847,1365,4036,34,9.58,70.04,48.06,18.68
Oct,Wada,Wada-1,1170,1431,71,249,481,1148,8,7.82,63.3,37.11,13.33
Oct,Wada,Wada-2,2372,2635,72,379,641,2106,20,5.45,60.41,31.81,17.09
Sep,Dahanu,Dahanu,1197,1369,86,295,466,1267,31,8.7,58.46,35.67,18.9
Sep,Dahanu,Kasa,198,289,15,66,102,256,0,9.12,54.29,35.8,0
Sep,Jawhar,Jawhar 1,1218,1913,87,386,864,1696,5,12.13,79.89,61.23,14.29
Sep,Jawhar,Jawhar-2,1309,1489,99,460,648,1682,15,14.59,72.96,57.09,22.06
Sep,Mokhada,Mokhada,228,342,18,78,133,341,1,13.1,77.76,59.4,6.25
Sep,Palghar,Manor,1730,1645,21,187,358,1586,8,3.64,59.1,31.52,7.27
Sep,Palghar,Palghar,2893,2279,115,507,452,2078,18,3.48,28.85,13.01,7.73
Sep,Talasari,Talasari,1571,1274,27,310,438,1516,35,6.93,58.47,35.57,28.93
Sep,Vasai,Vasai,179,115,1,43,58,118,21,3.63,24.28,12.69,30.43
Sep,Vasai,Vasai-2,942,864,12,113,196,846,11,3.29,47.49,24.83,14.29
Sep,Vikramgad,Vikramgad,2881,3154,153,765,1251,3322,13,10.67,69.99,50.26,10.57
Sep,Wada,Wada-1,1074,1467,70,253,522,1131,9,8.4,65.85,41.25,24.32
Sep,Wada,Wada-2,1919,2167,55,376,570,1884,21,6.69,63.28,35.79,21
